id,name,filename,filepath,filehash,description,container_image_name,container_image_version,container_type,container_image_id,extra_args
1,pics,pics_palfa.pkl,/b/u/vishnu/COMPACT/one_ring/include/ml_models,1b606e47ca75b664eed528afde565b752e8db8b9f5c5958d992f874fdd6c458c,,pics_20230630_pics_model_update.sif,20230630_pics_model_update,apptainer,14c9a7e6cb762f03fab972aa7616fbcf436db84c9a160325992db04588e7f2f5,
2,pics,pics_mkt_l_sband_recall.pkl,/b/u/vishnu/COMPACT/one_ring/include/ml_models,057e524f051108a7f17c56a9ee17a224e61fac56faba8e5afd70acea92cf5b8e,,pics_20230630_pics_model_update.sif,20230630_pics_model_update,apptainer,14c9a7e6cb762f03fab972aa7616fbcf436db84c9a160325992db04588e7f2f5,
3,pics,pics_trapum_ter5.pkl,/b/u/vishnu/COMPACT/one_ring/include/ml_models,8815726f5ce7c81958c14584de3070644c788efa91fa7155523347734919f96a,,pics_20230630_pics_model_update.sif,20230630_pics_model_update,apptainer,14c9a7e6cb762f03fab972aa7616fbcf436db84c9a160325992db04588e7f2f5,
4,pics,pics_palfa_mkt_l_sband_fscore.pkl,/b/u/vishnu/COMPACT/one_ring/include/ml_models,79e2eba500ae8223f6ff1118c3cbe0e5ae8789aedddc6562c6a299f9b483ee94,,pics_20230630_pics_model_update.sif,20230630_pics_model_update,apptainer,14c9a7e6cb762f03fab972aa7616fbcf436db84c9a160325992db04588e7f2f5,
5,alpha,,,,S/N at ZERO DM/S/N at candidate DM,pulsarx_latest.sif,latest,apptainer,d877b54bcc34a0ccc5b5f7d0fbe8b3fe3bc1df41bbee64a3bc365c56da7029d3,
6,beta,,,,ABS(DM_FFT - DM_FOLD)/DM_FFT,pulsarx_latest.sif,latest,apptainer,d877b54bcc34a0ccc5b5f7d0fbe8b3fe3bc1df41bbee64a3bc365c56da7029d3,
7,gamma,,,,DM_ERR/DM_FOLD,pulsarx_latest.sif,latest,apptainer,d877b54bcc34a0ccc5b5f7d0fbe8b3fe3bc1df41bbee64a3bc365c56da7029d3,
8,candy_picker,,,,Removes similar search candidates based on period and dm tolerance,candy_picker_latest.sif,latest,apptainer,b3a2b764683a2859d314f467693ed7c11fef30ee88659785131d9e9262275ca3,-p 1e-07
9,candy_picker,,,,Removes similar search candidates based on period and dm tolerance,candy_picker_latest.sif,latest,apptainer,b3a2b764683a2859d314f467693ed7c11fef30ee88659785131d9e9262275ca3,-p 1e-07 -d 100.0
10,alpha,,,,S/N at ZERO DM/S/N at candidate DM,pulsarx_latest.sif,latest,apptainer,75e6f96761626086515178344eee98917ecd84de69c428cc89ad186f16e39404,
11,candy_picker,,,,Removes similar search candidates based on period and dm tolerance,candy_picker_latest.sif,latest,apptainer,028823debfcad61edfbde910142c7bd221ef67fe31d89fd2ed48017f551d22ce,-p 1e-07 -d 100.0
12,beta,,,,ABS(DM_FFT - DM_FOLD)/DM_FFT,pulsarx_latest.sif,latest,apptainer,75e6f96761626086515178344eee98917ecd84de69c428cc89ad186f16e39404,
13,gamma,,,,DM_ERR/DM_FOLD,pulsarx_latest.sif,latest,apptainer,75e6f96761626086515178344eee98917ecd84de69c428cc89ad186f16e39404,
14,candy_picker,,,,Removes similar search candidates based on period and dm tolerance,candy_picker_latest.sif,latest,apptainer,028823debfcad61edfbde910142c7bd221ef67fe31d89fd2ed48017f551d22ce,-p 1e-05 -d 100.0
15,delta,,,,sqrt((P_FFT - P_FOLD)**2 + (Pdot_FFT - Pdot_FOLD)**2),pulsarx_latest.sif,latest,apptainer,75e6f96761626086515178344eee98917ecd84de69c428cc89ad186f16e39404,
