snr,period,dm,acc,nh,ddm_count_ratio,ddm_snr_ratio,nassoc,search_uuid,xml_file,candidate_id_in_file,num_related,related_cands
9.40928,0.00098906092818152,113.50000000,2.35720491,0,1.00000000,1.00000000,0,1,d6e5a601-354c-4b29-bdde-51f15b9a3384,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,6,8,c33ddea6-1ccb-4227-b9f8-c8c8377bcd95:364925cc-cf98-47d6-a3e3-bb25febbad62:54275f43-ceeb-4196-93f4-4facda8dbbf2:b7869708-921b-424b-9bd3-53a3ebd11af6:531b570a-c5bd-4809-94b7-4de3a35eed0e:4729421d-3569-46cf-8a6c-82d54a9eeee6:c7aee8c3-be0b-42c9-bbed-29470a1e54fe:fa2e555e-b8b8-4b33-a81b-fe71ede98bb2
72.97377014,0.00415753832318288,120.50000000,0.65331459,4,0.89772725,0.96243292,273,4,bd7ff9d6-1f4a-445d-911e-765e23e0ea9b,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,1,4,25002fbc-02f3-498f-b9a0-479a35e01189:ccf2776f-7142-4447-b2b6-15d92f8c7650:41bfe12e-4ba1-49b8-ba0c-120c118d37ed:791a567c-48c8-40ec-8bcf-c3153661c575
9.42492390,0.00106892874536902,112.00000000,0.00000000,3,1.00000000,1.00000000,0,1,7f46ced0-d860-4be8-91e8-905b591dab0e,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,5,3,f2f35850-a499-49d5-b6dd-7e392ab5c770:8aa7a3eb-7b30-4f08-b0e0-9d4b00242aeb:40ed1c48-cf0d-42c1-be00-32ebc299815d
8.36376095,0.00091204722872690,117.00000000,0.00000000,0,1.00000000,1.00000000,1,1,02d2e09d-cd56-4a92-9911-3872396facb9,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,14,2,685d98da-e4b3-42b7-afae-e75089bb85a0:a4fb1709-2179-4cb3-a16f-09e5dd0e85f9
8.56742191,0.00153404002417536,120.00000000,-1.25744843,0,1.00000000,1.00000000,3,2,6cf815ae-cbd9-4d57-8770-119d76517f42,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,9,2,dee81793-2c6a-4f3a-a474-523b619ffd3d:6c16800a-b059-4326-bc74-893eb42969df
8.95025158,0.00590858090286715,119.50000000,1.86473954,2,1.00000000,1.00000000,11,6,9839fad1-cc8d-4a55-a0b0-671dee9aa228,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,8,2,d910f194-f6ed-4db8-ad3b-ad91013e196d:4729421d-3569-46cf-8a6c-82d54a9eeee6
254.40597534,0.00305408227195089,120.00000000,0.00000000,2,0.69354838,0.80058962,1280,3,905ea9c4-cc4b-4974-880e-b9ea2da8591d,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,0,2,02407064-5a22-4ac3-af40-29d2ec50db93:9265663b-0aaf-4973-9a86-a052ca0ad9a5
8.26491356,0.00097426359967090,121.00000000,-4.34413528,0,1.00000000,1.00000000,0,1,3cbf4463-6012-4e4b-8bdb-8ce774f0d6d7,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,17,1,c7aee8c3-be0b-42c9-bbed-29470a1e54fe
8.42006588,0.00133257335009461,119.50000000,2.80695891,0,1.00000000,1.00000000,4,1,7949d0d1-2721-4a41-ac4b-481e8919d441,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,15,1,a371a37d-232a-4a60-8710-194a1b816756
8.47815514,0.00149715167442215,109.50000000,-4.13170767,0,1.00000000,1.00000000,0,1,7c07204c-588b-41b7-bae9-ae16bb21396d,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,12,1,33778569-9f1a-498e-a7f3-186def3bd6ca
